iter	Passed	Remaining
405	7506	10982
406	7522	10960
407	7539	10939
408	7557	10921
409	7578	10905
410	7595	10884
411	7611	10862
412	7627	10841
413	7643	10819
414	7658	10795
415	7677	10778
416	7695	10759
417	7712	10738
418	7728	10717
419	7746	10697
420	7763	10677
421	7780	10656
422	7796	10634
423	7813	10615
424	7829	10593
425	7856	10586
426	7872	10564
427	7890	10544
428	7910	10528
429	7932	10515
430	7950	10496
431	7969	10478
432	7988	10460
433	8006	10441
434	8025	10424
435	8043	10404
436	8059	10383
437	8077	10363
438	8094	10344
439	8113	10325
440	8129	10304
441	8146	10284
442	8162	10262
443	8178	10242
444	8196	10222
445	8214	10203
446	8231	10183
447	8249	10164
448	8267	10145
449	8285	10127
450	8308	10114
451	8328	10097
452	8348	10080
453	8369	10064
454	8389	10049
455	8409	10032
456	8430	10017
457	8448	9998
458	8467	9979
459	8484	9959
460	8504	9942
461	8524	9927
462	8547	9913
463	8565	9894
464	8582	9874
465	8600	9855
466	8614	9832
467	8629	9809
468	8645	9788
469	8660	9766
470	8677	9746
471	8693	9724
472	8709	9703
473	8728	9686
474	8746	9667
475	8762	9646
476	8779	9625
477	8795	9605
478	8812	9585
479	8840	9577
480	8859	9559
481	8882	9546
482	8902	9529
483	8920	9510
484	8940	9493
485	8961	9477
486	8981	9461
487	9002	9445
488	9020	9426
489	9040	9409
490	9057	9389
491	9076	9371
492	9094	9352
493	9109	9331
494	9126	9311
495	9148	9295
496	9167	9277
497	9183	9256
498	9199	9236
499	9215	9215
500	9232	9195
501	9247	9174
502	9263	9153
503	9280	9132
504	9296	9112
505	9312	9091
506	9330	9072
507	9349	9055
508	9367	9036
509	9384	9016
510	9400	8995
511	9415	8974
512	9433	8955
513	9451	8936
514	9468	8917
515	9487	8898
516	9503	8878
517	9527	8865
518	9552	8852
519	9571	8835
520	9591	8817
521	9609	8799
522	9627	8780
523	9643	8760
524	9661	8741
525	9677	8720
526	9694	8701
527	9711	8681
528	9726	8660
529	9743	8640
530	9766	8626
531	9789	8611
532	9807	8592
533	9836	8583
534	9856	8566
535	9872	8546
536	9888	8526
537	9907	8507
538	9926	8489
539	9947	8473
540	9968	8457
541	9987	8439
542	10005	8421
543	10025	8403
544	10044	8385
545	10061	8366
546	10079	8347
547	10100	8330
548	10117	8311
549	10135	8292
550	10152	8273
551	10170	8254
552	10190	8237
553	10209	8219
554	10225	8198
555	10240	8177
556	10255	8156
557	10272	8137
558	10288	8116
559	10304	8096
560	10320	8075
561	10335	8054
562	10350	8034
563	10370	8016
564	10392	8001
565	10415	7986
566	10435	7968
567	10456	7953
568	10475	7934
569	10492	7915
570	10514	7899
571	10535	7883
572	10553	7864
573	10571	7845
574	10590	7827
575	10607	7808
576	10623	7787
577	10640	7768
578	10656	7748
579	10671	7727
580	10688	7708
581	10705	7688
582	10721	7668
583	10737	7648
584	10754	7628
585	10771	7609
586	10791	7592
587	10810	7574
588	10840	7564
589	10855	7543
590	10871	7523
591	10886	7502
592	10901	7482
593	10918	7462
594	10934	7443
595	10951	7423
596	10967	7403
597	10986	7385
598	11003	7366
599	11019	7346
600	11035	7326
601	11051	7306
602	11068	7287
603	11084	7267
604	11103	7249
605	11121	7230
606	11140	7212
607	11160	7195
608	11180	7178
609	11204	7163
610	11223	7145
611	11240	7126
612	11259	7108
613	11277	7089
614	11296	7071
615	11315	7053
616	11333	7035
617	11350	7016
618	11369	6998
619	11388	6979
620	11407	6962
621	11426	6944
622	11446	6926
623	11465	6908
624	11485	6891
625	11508	6875
626	11532	6860
627	11549	6841
628	11566	6822
629	11583	6803
630	11602	6784
631	11621	6766
632	11639	6748
633	11655	6728
634	11672	6709
635	11687	6689
636	11704	6669
637	11722	6651
638	11739	6632
639	11758	6614
640	11776	6595
641	11793	6576
642	11822	6564
643	11843	6547
644	11860	6527
645	11878	6509
646	11896	6490
647	11912	6470
648	11928	6451
649	11943	6431
650	11959	6411
651	11975	6391
652	11992	6372
653	12008	6353
654	12028	6335
655	12046	6316
656	12065	6298
657	12083	6280
658	12100	6261
659	12117	6242
660	12135	6223
661	12152	6204
662	12168	6184
663	12185	6166
664	12205	6148
665	12223	6130
666	12240	6111
667	12259	6093
668	12281	6076
669	12298	6057
670	12316	6039
671	12336	6021
672	12354	6002
673	12371	5983
674	12389	5965
675	12405	5946
676	12422	5926
677	12439	5907
678	12458	5889
679	12478	5872
680	12500	5855
681	12519	5837
682	12534	5817
683	12550	5798
684	12567	5779
685	12586	5761
686	12603	5742
687	12620	5723
688	12638	5704
689	12657	5686
690	12676	5668
691	12694	5649
692	12710	5630
693	12728	5612
694	12745	5593
695	12762	5574
696	12778	5554
697	12794	5535
698	12823	5522
699	12845	5505
700	12862	5486
701	12879	5467
702	12896	5448
703	12915	5430
704	12933	5412
705	12950	5393
706	12969	5374
707	12986	5355
708	13003	5337
709	13024	5319
710	13040	5300
711	13059	5282
712	13077	5264
713	13096	5245
714	13114	5227
715	13131	5208
716	13149	5189
717	13166	5171
718	13182	5151
719	13201	5133
720	13219	5115
721	13237	5096
722	13255	5078
723	13275	5060
724	13294	5042
725	13311	5023
726	13330	5005
727	13347	4986
728	13364	4968
729	13382	4949
730	13398	4930
731	13412	4910
732	13428	4891
733	13444	4872
734	13462	4853
735	13487	4837
736	13510	4821
737	13527	4802
738	13544	4783
739	13563	4765
740	13580	4746
741	13597	4728
742	13615	4709
743	13631	4690
744	13648	4671
745	13668	4653
746	13685	4635
747	13707	4618
748	13725	4599
749	13742	4580
750	13758	4561
751	13775	4542
752	13792	4524
753	13827	4511
754	13846	4493
755	13863	4474
756	13879	4455
757	13897	4436
758	13918	4419
759	13942	4402
760	13960	4384
761	13977	4365
762	13993	4346
763	14009	4327
764	14026	4308
765	14042	4289
766	14060	4271
767	14076	4252
768	14093	4233
769	14112	4215
770	14129	4196
771	14146	4178
772	14164	4159
773	14180	4140
774	14196	4121
775	14213	4102
776	14231	4084
777	14248	4065
778	14266	4047
779	14284	4028
780	14300	4009
781	14318	3991
782	14338	3973
783	14356	3955
784	14372	3936
785	14387	3917
786	14403	3898
787	14418	3879
788	14434	3860
789	14453	3842
790	14476	3825
791	14493	3806
792	14509	3787
793	14527	3769
794	14544	3750
795	14561	3731
796	14576	3712
797	14593	3693
798	14608	3675
799	14624	3656
800	14639	3637
801	14656	3618
802	14672	3599
803	14688	3580
804	14705	3562
805	14723	3543
806	14744	3526
807	14762	3507
808	14780	3489
809	14815	3475
810	14833	3456
811	14849	3438
812	14866	3419
813	14883	3400
814	14901	3382
815	14918	3363
816	14933	3344
817	14951	3326
818	14969	3308
819	14986	3289
820	15002	3270
821	15017	3251
822	15032	3233
823	15048	3214
824	15063	3195
825	15079	3176
826	15096	3158
827	15111	3139
828	15128	3120
829	15143	3101
830	15161	3083
831	15178	3064
832	15195	3046
833	15211	3027
834	15227	3009
835	15243	2990
836	15258	2971
837	15273	2952
838	15290	2934
839	15305	2915
840	15322	2896
841	15338	2878
842	15354	2859
843	15372	2841
844	15390	2823
845	15407	2804
846	15424	2786
847	15449	2769
848	15467	2751
849	15485	2732
850	15503	2714
851	15519	2695
852	15535	2677
853	15553	2659
854	15576	2641
855	15596	2623
856	15614	2605
857	15632	2587
858	15650	2569
859	15669	2550
860	15687	2532
861	15704	2514
862	15719	2495
863	15736	2476
864	15753	2458
865	15772	2440
866	15792	2422
867	15829	2407
868	15848	2389
869	15866	2370
870	15883	2352
871	15898	2333
872	15917	2315
873	15933	2297
874	15948	2278
875	15965	2259
876	15981	2241
877	15999	2223
878	16017	2204
879	16034	2186
880	16050	2168
881	16066	2149
882	16082	2130
883	16098	2112
884	16116	2094
885	16134	2075
886	16151	2057
887	16168	2039
888	16185	2020
889	16205	2002
890	16224	1984
891	16243	1966
892	16261	1948
893	16280	1930
894	16298	1912
895	16316	1893
896	16334	1875
897	16353	1857
898	16374	1839
899	16394	1821
900	16415	1803
901	16440	1786
902	16464	1768
903	16484	1750
904	16504	1732
905	16524	1714
906	16543	1696
907	16560	1677
908	16578	1659
909	16595	1641
910	16612	1623
911	16632	1604
912	16649	1586
913	16665	1568
914	16681	1549
915	16698	1531
916	16713	1512
917	16728	1494
918	16744	1475
919	16760	1457
920	16777	1439
921	16792	1420
922	16829	1403
923	16849	1385
924	16866	1367
925	16885	1349
926	16905	1331
927	16924	1313
928	16941	1294
929	16960	1276
930	16978	1258
931	16995	1240
932	17013	1221
933	17031	1203
934	17051	1185
935	17072	1167
936	17089	1149
937	17108	1130
938	17125	1112
939	17143	1094
940	17162	1076
941	17181	1057
942	17198	1039
943	17216	1021
944	17235	1003
945	17256	985
946	17274	966
947	17293	948
948	17314	930
949	17336	912
950	17354	894
951	17374	876
952	17395	857
953	17420	839
954	17447	822
955	17467	803
956	17486	785
957	17504	767
958	17524	749
959	17541	730
960	17558	712
961	17577	694
962	17594	676
963	17611	657
964	17627	639
965	17644	621
966	17663	602
967	17680	584
968	17697	566
969	17713	547
970	17729	529
971	17744	511
972	17760	492
973	17775	474
974	17790	456
975	17828	438
976	17846	420
977	17866	401
978	17885	383
979	17903	365
980	17921	347
981	17937	328
982	17952	310
983	17969	292
984	17984	273
985	18003	255
986	18019	237
987	18035	219
988	18052	200
989	18071	182
990	18088	164
991	18105	146
992	18122	127
993	18139	109
994	18154	91
995	18171	72
996	18187	54
997	18202	36
998	18218	18
999	18233	0
